 ITEM CODE ,BARCODE,BRAND,Item,TYPE,NICHE,QTY,PRICE_AED ,ORDER
 01AR97012000002-011059-0100CFR ,6294015155648,ARMAF,ARMAF CABALLO (M) EDP 100 ml FR,REGULAR,,77,96,
 01AR97001070001-011059-0105CFR ,6294015164169,ARMAF,ARMAF CLUB DE NUIT IMPERIALE (W) EDP 105 ml FR,REGULAR,,6,102,
 01AR97001010004-011059-0200CAE ,6294015131024,ARMAF,ARMAF CLUB DE NUIT INTENSE MAN (M) EDP 200 ml AE,REGULAR,,36,152,
 01AR97001010004-011059-0200CFR ,6294015132024,ARMAF,ARMAF CLUB DE NUIT INTENSE MAN (M) EDP 200 ml FR,REGULAR,,70,152,
 01AR97001010004-018512-0200CAE ,6294015102413,ARMAF,ARMAF CLUB DE NUIT INTENSE MAN (M) PERFUME BODY SPRAY 200 ml AE,REGULAR,,56,11,
 01AR97001060081-011059-0200CFR ,6294015164312,ARMAF,ARMAF CLUB DE NUIT UNTOLD (U) EDP 200 ml FR,REGULAR,,6,173,
 01AR97001020002-011059-0105CFR ,6294015102642,ARMAF,ARMAF CLUB DE NUIT URBAN MAN (M) EDP 105 ml FR,REGULAR,,139,61,
 01AR97001020102-018512-0200CAE ,6294015180886,ARMAF,ARMAF CLUB DE NUIT URBAN MAN ELIXIR (M) PERFUME BODY SPRAY 200 ml AE,REGULAR,,12,11,
 01AR97001000003-011059-0105CFR ,6085010094151,ARMAF,ARMAF CLUB DE NUIT WOMAN (W) EDP 105 ml FR,REGULAR,,6,69,
 01AR97010010010-011059-0100CFR ,6294015104264,ARMAF,ARMAF CRAZE NOIR FOR MEN (M) EDP 100 ml FR,REGULAR,,240,60,
 01AR97015000002-014057-0100CFR ,6085010092072,ARMAF,ARMAF DERBY CLUB HOUSE (M) EDT 100 ml FR,REGULAR,,6,53,
 01AR97009020002-011059-0100CFR ,6294015166224,ARMAF,ARMAF HUNTER JUNGLE (M) EDP 100 ml FR,REGULAR,,103,71,
 01AR97009010002-011059-0100CFR ,6294015166217,ARMAF,ARMAF HUNTER KILLER (M) EDP 100 ml FR,REGULAR,,12,71,
 01AR97018000011-011059-0100CFR ,6085010094823,ARMAF,ARMAF LE FEMME (W) EDP 100 ml FR,REGULAR,,203,53,
 01AR97005010013-011059-0100CFR ,6294015161496,ARMAF,ARMAF LE PARFAIT AZURE POUR FEMME (W) EDP 100 ml FR,REGULAR,,240,79,
 01AR97008000002-011059-0100CFR ,6294015107081,ARMAF,ARMAF LEGASI (M) EDP 100 ml FR,REGULAR,,223,49,
 01AR97003080281-011059-0100CFR ,6294015118865,ARMAF,ARMAF NICHE BUCEPHALUS NO. XI (U) EDP 100 ml FR,REGULAR,,56,96,
 01AR97003100081-011059-0090CFR ,6294015105162,ARMAF,ARMAF NICHE SAPPHIRE (U) EDP 90 ml FR,REGULAR,,6,49,
 01AR97011010014-011059-0100CFR ,6294015155655,ARMAF,ARMAF NOMAD THE WANDERER POUR HOMME (M) EDP 100 ml FR,REGULAR,,227,87,
 01AR97014000014-011059-0100CFR ,6294015108170,ARMAF,ARMAF THE PRIDE OF ARMAF POUR HOMME (M) EDP 100 ml FR,REGULAR,,17,92,
 01AR97013020013-011059-0100CFR ,6294015161526,ARMAF,ARMAF VOYAGE HAWAII POUR FEMME (W) EDP 100 ml FR,REGULAR,,32,65,
 01AR97013010014-011059-0100CFR ,6294015161519,ARMAF,ARMAF VOYAGE TITAN POUR HOMME (M) EDP 100 ml FR,REGULAR,,240,76,
 01AF35003020004-014057-0100CUS ,85715169525,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH AUTHENTIC MOMENT MAN (M) EDT 100 ml US,REGULAR,,117,103,
 01AF35003020003-011059-0100CUS ,85715169624,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH AUTHENTIC MOMENT WOMAN (W) EDP 100 ml US,REGULAR,,115,96,
 01AF35003010004-014057-0100CUS ,85715168023,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH AUTHENTIC NIGHT MAN (M) EDT 100 ml US,REGULAR,,114,96,
 01AF35003010003-011059-0100CUS ,85715169020,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH AUTHENTIC NIGHT WOMAN (W) EDP 100 ml US,REGULAR,,117,96,
 01AF35005000004-014057-0100CUS ,85715169709,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH AWAY MAN (M) EDT 100 ml US,REGULAR,,117,106,
 01AF35005000003-011059-0100CUS ,85715169808,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH AWAY WOMAN (W) EDP 100 ml US,REGULAR,,117,96,
 01AF35002030004-014057-0100CUS ,85715167019,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH FIRST INSTINCT BLUE MAN (M) EDT 100 ml US,REGULAR,,117,85,
 01AF35002030003-011059-0100CUS ,85715167224,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH FIRST INSTINCT BLUE WOMAN (W) EDP 100 ml US,REGULAR,,117,91,
 01AF35002010004-011059-0100CUS ,85715167507,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH FIRST INSTINCT EXTREME MAN (M) EDP 100 ml US,REGULAR,,117,91,
 01AF35002020003-011059-0100CUS ,85715167613,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH FIRST INSTINCT SHEER WOMAN (W) EDP 100 ml US,REGULAR,,97,74,
 01AF35002040004-014057-0100CUS ,85715166203,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH FIRST INSTINCT TOGETHER MAN (M) EDT 100 ml US,REGULAR,,114,85,
 01AF35002040003-011059-0100CUS ,85715167583,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH FIRST INSTINCT TOGETHER WOMAN (W) EDP 100 ml US,REGULAR,,117,91,
 01AF35002000003-011059-0100CUS ,85715163158,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH FIRST INSTINCT WOMAN (W) EDP 100 ml US,REGULAR,,12,71,
 01AF35004000001-011059-0100CUS ,85715167811,ABERCROMBIE & FITCH,ABERCROMBIE & FITCH NATURALLY FIERCE (W) EDP 100 ml US,REGULAR,,139,54,
 01AC87001000081-011059-0100CIT ,8054521910029,ACCENDIS,ACCENDIS 0.2 (U) EDP 100 ml IT,REGULAR,NICHE,6,167,
 01AC87002000081-011059-0100CIT ,8054521910012,ACCENDIS,ACCENDIS ACLUS (U) EDP 100 ml IT,REGULAR,NICHE,12,167,
 01AC87003000081-011059-0100CIT ,8054521910142,ACCENDIS,ACCENDIS FIORIALUX (U) EDP 100 ml IT,REGULAR,NICHE,12,167,
 01AC87004000081-011059-0100CIT ,8054521910098,ACCENDIS,ACCENDIS LUCEPURA (U) EDP 100 ml IT,REGULAR,NICHE,12,167,
 01AC87005000081-011059-0100CIT ,8054521910104,ACCENDIS,ACCENDIS LUCEVERA (U) EDP 100 ml IT,REGULAR,NICHE,12,167,
 01AC87007000001-011059-0100CIT ,8054521910210,ACCENDIS,ACCENDIS NOORIA (W) EDP 100 ml IT,REGULAR,NICHE,12,167,
 01AP33004010081-014057-0030CIT ,8028713570261,ACQUA DI PARMA,ACQUA DI PARMA BLU MEDITERRANEO ARANCIA DI CAPRI (U) EDT 30 ml IT,REGULAR,NICHE,58,128,
 01AP33004080081-014057-0030CIT ,8028713570308,ACQUA DI PARMA,ACQUA DI PARMA BLU MEDITERRANEO BERGAMOTTO DI CALABRIA (U) EDT 30 ml IT,REGULAR,NICHE,28,128,
 01AP33004080081-014057-0075CIT ,8028713570094,ACQUA DI PARMA,ACQUA DI PARMA BLU MEDITERRANEO BERGAMOTTO DI CALABRIA (U) EDT 75 ml IT,REGULAR,NICHE,240,199,
 01AP33004050081-014057-0030CIT ,8028713570506,ACQUA DI PARMA,ACQUA DI PARMA BLU MEDITERRANEO CIPRESSO DI TOSCANA (U) EDT 30 ml IT,REGULAR,NICHE,51,128,
 01AP33004060081-014057-0030CIT ,8028713570285,ACQUA DI PARMA,ACQUA DI PARMA BLU MEDITERRANEO FICO DI AMALFI (U) EDT 30 ml IT,REGULAR,NICHE,64,128,
 01AP33022000081-011059-0100CIT ,8028713810213,ACQUA DI PARMA,ACQUA DI PARMA CAMELIA (U) EDP 100 ml IT,REGULAR,NICHE,18,260,
 01AP33001000081-016510-0100CIT ,8028713000096,ACQUA DI PARMA,ACQUA DI PARMA COLONIA (U) EDC 100 ml REFILLABLE IT,REGULAR,NICHE,240,253,
 01AP33001000081-016516-0050CIT ,8028713000089,ACQUA DI PARMA,ACQUA DI PARMA COLONIA (U) EDC 50 ml IT,REGULAR,NICHE,217,181,
 01AP33001140081-016516-0100CIT ,8028713270024,ACQUA DI PARMA,ACQUA DI PARMA COLONIA PURA (U) EDC 100 ml IT,REGULAR,NICHE,209,221,
 01AP33016000081-011059-0180CIT ,8028713810626,ACQUA DI PARMA,ACQUA DI PARMA LEATHER (U) EDP 180 ml IT,REGULAR,NICHE,12,551,
 01AP33032000081-011059-0100CIT ,8028713811210,ACQUA DI PARMA,ACQUA DI PARMA LILY OF THE VALLEY (U) EDP 100 ml IT,REGULAR,NICHE,135,395,
 01AP33012000001-011059-0100CIT ,8028713490026,ACQUA DI PARMA,ACQUA DI PARMA ROSA NOBILE (W) EDP 100 ml IT,REGULAR,NICHE,68,312,
 01AP33023000081-011059-0100CIT ,8028713810114,ACQUA DI PARMA,ACQUA DI PARMA YUZU (U) EDP 100 ml IT,REGULAR,NICHE,128,373,
 01AP33030000081-011059-0180CIT ,8028713813382,ACQUA DI PARMA,ACQUA DI PARMA ZAFFERANO (U) EDP 180 ml IT,REGULAR,NICHE,6,551,
 01AF97050000001-011059-0080CAE ,6290171074472,AFNAN,AFNAN CHERRY BOUQUET (W) EDP 80 ml AE,REGULAR,,240,87,
 01AF97030010081-011059-0090CAE ,6290171002185,AFNAN,AFNAN MIRSAAL OF TRUST (U) EDP 90 ml AE,REGULAR,,240,85,
 01AF97049010081-011059-0080CAE ,6290171073857,AFNAN,AFNAN OUD RISING (U) EDP 80 ml AE,REGULAR,,17,98,
 01AF97047010081-011059-0080CAE ,6290171071525,AFNAN,AFNAN PATCHOULI ON FIRE (U) EDP 80 ml AE,REGULAR,,46,101,
 01AF97036020081-011059-0100CAE ,6290171040637,AFNAN,AFNAN SOUVENIR DESERT ROSE (U) EDP 100 ml AE,REGULAR,,97,79,
 01AF97009000081-011059-0100CAE ,6290171000983,AFNAN,AFNAN SUPREMACY (U) EDP 100 ml AE,REGULAR,,126,74,
 01AF97009080081-010047-0150CAE ,6290171072768,AFNAN,AFNAN SUPREMACY IN OUD (U) EXTRAIT DE PARFUM 150 ml AE,REGULAR,,59,119,
 01AF97009070002-010047-0150CAE ,6290171072775,AFNAN,AFNAN SUPREMACY NOT ONLY INTENSE (M) EXTRAIT DE PARFUM 150 ml AE,REGULAR,,34,130,
 01AF97009030013-011059-0100CAE ,6290171002048,AFNAN,AFNAN SUPREMACY PINK POUR FEMME (W) EDP 100 ml AE,REGULAR,,240,71,
 01AJ95092000002-011059-0075CAE ,6293708010233,AJMAL,AJMAL ARISTOCRAT (M) EDP 75 ml AE,REGULAR,,240,87,
 01AJ95092000001-011059-0075CAE ,6293708011124,AJMAL,AJMAL ARISTOCRAT (W) EDP 75 ml AE,REGULAR,,240,92,
 01AJ95102010081-011059-0075CAE ,6293708011018,AJMAL,AJMAL PURELY ORIENT MUSC (U) EDP 75 ml AE,REGULAR,NICHE,12,162,
 01AJ95102090081-011059-0075CAE ,6293708011575,AJMAL,AJMAL PURELY ORIENT SAFFRON (U) EDP 75 ml AE,REGULAR,NICHE,54,189,
 01AJ95102080081-011059-0075CAE ,6293708011537,AJMAL,AJMAL PURELY ORIENT SANTAL (U) EDP 75 ml AE,REGULAR,NICHE,47,189,
 01AJ95093040081-011059-0075CAE ,6293708010851,AJMAL,AJMAL QAFIYA 04 (U) EDP 75 ml AE,REGULAR,,12,108,
 01HA97078000081-011059-0100CAE ,6291100130634,AL HARAMAIN,AL HARAMAIN AMBER MUSK (U) EDP 100 ml AE,REGULAR,NICHE,213,125,
 01HA97049060081-011059-0100CAE ,6291100132317,AL HARAMAIN,AL HARAMAIN AMBER OUD BLACK EDITION (U) EDP 100 ml AE,REGULAR,NICHE,240,135,
 01HA97049060081-011059-0200CAE ,6291100132300,AL HARAMAIN,AL HARAMAIN AMBER OUD BLACK EDITION (U) EDP 200 ml AE,REGULAR,NICHE,132,197,
 01HA97049060081-011059-0060CAE ,6291100132287,AL HARAMAIN,AL HARAMAIN AMBER OUD BLACK EDITION (U) EDP 60 ml AE,REGULAR,NICHE,96,121,
 01HA97049070002-011059-0060CAE ,6291100130153,AL HARAMAIN,AL HARAMAIN AMBER OUD BLEU EDITION (M) EDP 60 ml AE,REGULAR,,120,119,
 01HA97049030081-011059-0100CAE ,6291100130160,AL HARAMAIN,AL HARAMAIN AMBER OUD CARBON EDITION (U) EDP 100 ml AE,REGULAR,NICHE,117,167,
 01HA97049030081-011059-0060CAE ,6291100130467,AL HARAMAIN,AL HARAMAIN AMBER OUD CARBON EDITION (U) EDP 60 ml AE,REGULAR,NICHE,69,125,
 01HA97049010081-011059-0100CAE ,6291100130122,AL HARAMAIN,AL HARAMAIN AMBER OUD GOLD EDITION (U) EDP 100 ml AE,REGULAR,NICHE,18,157,
 01HA97049010081-011059-0200CAE ,6291100131587,AL HARAMAIN,AL HARAMAIN AMBER OUD GOLD EDITION (U) EDP 200 ml AE,REGULAR,NICHE,111,216,
 01HA97049050081-011059-0100CAE ,6291106813036,AL HARAMAIN,AL HARAMAIN AMBER OUD RUBY EDITION (U) EDP 100 ml AE,REGULAR,NICHE,98,167,
 01HA97049050081-011059-0060CAE ,6291106813029,AL HARAMAIN,AL HARAMAIN AMBER OUD RUBY EDITION (U) EDP 60 ml AE,REGULAR,NICHE,93,126,
 01HA97079000013-011059-0075CAE ,6291100136285,AL HARAMAIN,AL HARAMAIN JUNOON POUR FEMME (W) EDP 75 ml AE,REGULAR,,63,119,
 01HA97079010013-011059-0075CAE ,6291100130849,AL HARAMAIN,AL HARAMAIN JUNOON ROSE POUR FEMME (W) EDP 75 ml AE,REGULAR,,97,119,
 01HA97016030081-011059-0100CAE ,6291100130092,AL HARAMAIN,AL HARAMAIN L'AVENTURE GOLD (U) EDP 100 ml AE,REGULAR,,147,98,
 01HA97019010081-011059-0075CAE ,6291100131310,AL HARAMAIN,AL HARAMAIN MANEGE BLANCHE (U) EDP 75 ml AE,REGULAR,,101,141,
 01HA97082000081-011059-0100CAE ,6291100130108,AL HARAMAIN,AL HARAMAIN MUSK COLLECTION (U) EDP 100 ml AE,REGULAR,,138,126,
 01HA97081010081-011059-0075CAE ,6291100130825,AL HARAMAIN,AL HARAMAIN PORTFOLIO ROYALE STALLION (U) EDP 75 ml AE,REGULAR,,97,206,
 01HA97080000081-011059-0100CAE ,6291100130979,AL HARAMAIN,AL HARAMAIN ROYAL MUSK (U) EDP 100 ml AE,REGULAR,,65,137,
 01AJ35001030081-011059-0100CFR ,3760016770287,ALEXANDRE J,ALEXANDRE J THE COLLECTOR BLACK MUSCS (U) EDP 100 ml FR,REGULAR,NICHE,240,139,
 01AJ35001020081-011059-0100CFR ,3760016770324,ALEXANDRE J,ALEXANDRE J THE COLLECTOR MORNING MUSCS (U) EDP 100 ml FR,REGULAR,NICHE,240,139,
 01AJ35001110001-011059-0100CFR ,3701278600479,ALEXANDRE J,ALEXANDRE J THE COLLECTOR ROSE ALBA (W) EDP 100 ml FR,REGULAR,NICHE,6,141,
 01AS36006000002-014057-0100CUS ,67724200017,ALFRED SUNG,ALFRED SUNG HEI (M) EDT 100 ml US,REGULAR,,61,39,
 01AP98001000081-011059-0050CAE ,6291110091642,ALREHAB PERFUMES,ALREHAB PERFUMES CHOCO MUSK (U) EDP 50 ml AE,REGULAR,,240,11,
 01AM87001010081-011059-0100CFR ,3700796900108,AMORINO,AMORINO BLACK ESSENCE (U) EDP 100 ml FR,REGULAR,NICHE,48,454,
