BARCODE,Vendor SKU,Item,PRICE_AED,Price Usd,Qty,Group,Remarks
3700066700681,PPRAP100AR,Acqua Di Parisis Arabian Roses EDP 100 ml,57,14.17,12,Regular,
3700066702760,PPRAP100D,Acqua Di Parisis Delanoe EDP 100 ml,50,12.26,15,Regular,
3700066702081,PPRAP100TOTR,Acqua Di Parisis Essenza Iintensa Tango Of The Roses EDP 100 ml,57,14.17,42,Regular,
3700066700698,PPRAP100OC,Acqua Di Parisis Essenza Intensa Oud Couture EDP 100 ml,57,14.17,27,Regular,
3700066700148,PPRAP100OL,Acqua Di Parisis Essenza Intensa Oud Lumineux EDP 100 ml,57,14.17,9,Regular,
3700066702074,PPRAP100SKO,Acqua Di Parisis Essenza Intensa Sky Oud EDP 100ml,57,14.17,7,Regular,
3700066702098,PPRAP100OTT,Acqua Di Parisis Essenza Intensa Too Tabacco EDP 100 ml,57,14.17,41,Regular,
3700066700704,PPRAC100MS,Acqua Di Parisis Musk Sultan 100 ml,57,14.17,12,Regular,
3700066700131,PPRAP100SO,Acqua Di Parisis Silk Oud EDP 100 ml,57,14.17,16,Regular,
3700066700674,PPRAP100WO,Acqua Di Parisis Wild Oud EDP 100 ml,57,14.17,11,Regular,
8028713150029,PECADP100CC,Acqua Di Parma Colonia Club M EDC 100 ml,225,59.95,21,Regular,
8028713280023,PETADP100CFT,Acqua Di Parma Colonia Futura EDC 100 ml,200,53.13,26,Regular,
8028713210020,PECADP100CI,Acqua Di Parma Colonia Intensa M EDC 100 ml,235,62.67,56,Regular,
8028713270024,PECADP100CP,ACQUA DI PARMA COLONIA PURA 100ML EDC,215,57.22,41,Regular,
8028713811210,PPRADP100LOTV,Acqua Di Parma Lily Of The Valley EDP 100ml,350,94.01,12,Regular,
8028713810015,PPRADP100OMT,Acqua Di Parma Osmanthus EDP 100ml,350,94.01,13,Regular,
8028713813214,PPRADP100OS,Acqua Di Parma Oud & Spice EDP 100ml,350,94.01,11,Regular,
8028713813221,PPRADP180OS,Acqua Di Parma Oud & Spice EDP 180ml,415,111.72,13,Regular,
8028713810312,PPRADP100SKR,Acqua Di Parma Sakura EDP 100ml,315,84.47,1,Regular,
8028713810718,PPRADP100SA,Acqua Di Parma Signatures of The Sun Ambra U EDP 100 ml,325,87.19,13,Regular,
8028713810510,PPRADP100O,Acqua Di Parma Signatures Oud EDP 100 ml,350,94.01,35,Regular,
3614222813217,PFPAD100CAE,Adidas Champions Arena Edition EDT 100ML,20,4.09,1,Regular,
3614223936939,PFPAD100CHME,Adidas Champions Edition Edt 100ml,20,4.09,13,Regular,
3607342734425,PFPAD100GRM,Adidas Get Ready Male EDT 100 ml,19,3.81,52,Regular,
3607345397498,PFPAD100ID,Adidas Ice Dive EDT 100 ml,19,3.81,4,Regular,
3607345397542,PFPAD100PG,Adidas Pure Game EDT 100 ml,19,3.81,52,Regular,
3607346551035,PFPAD100T5,Adidas Team Five EDT 100 ml,19,3.81,5,Regular,
3607345397597,PFPAD100TF,Adidas Team Force 100 ml EDT.,20,4.09,2,Regular,
6290171002338,PPRAFN100/9PM,Afnan 9 Pm EDP 100ml,80,20.44,41,Regular,
6290171000976,PETSUP100,Afnan Supremacy Silver M EDP 100ml,82,20.98,44,Regular,
4013670509199,PPRAIG100D,Aigner Debut EDP W 100 ml,83,21.25,34,Regular,
4013670502930,PPRAGN100T,Aigner Too Feminine EDP W 100 ml,68,17.17,12,Regular,
4013670505924,PETAIG125W,Aigner White Man EDT M 125 ml,63,15.8,99,Regular,
6291100130634,PPRAH100AM,Al Haramain Amber Musk Edp 100ml,155,40.87,10,Regular,
6291100131990,PPRAH75BR,Al Haramain Belle Rouge Spray Edp 75ml,40,9.54,1,Regular,
6291100130849,PPRAH75JUR,Al Haramain Junoon Rose Spray Edp 75ml,100,25.89,110,Regular,
6291100137565,PPRAH100LAV,Al Haramain L Aventure Femme Edp 100ml Spray,100,25.89,19,Regular,
6291100134267,PPRAH100LKA,Al Haramain L Aventure Knight Edp Spray 100ml,115,29.97,15,Regular,
6291100130986,PPRAH100MM,Al Haramain Musk Maliki Edp 100ml,155,40.87,15,Regular,
6291106812411,PPRAH100PO,Al Haramain Platinum Oud Edp 100ml,155,40.87,5,Regular,
6291100130979,PPRAH100RM,Al Haramain Royal Musk Edp 100ml,150,39.51,44,Regular,
6291100132836,PPRAH100SR,Al Haramain Signature Red Spray Edp 100ml,50,12.26,4,Regular,
3700066701497,PPRALB100NGC,Albane Nobel Gris Chic EDP 100 ml,100,25.89,19,Regular,
3700066701824,PPRALB100NI,Albane Nobel Imperial EDP 100 ml,100,25.89,18,Regular,
3700066701503,PPRALB100NM,Albane Nobel Mustang EDP 100 ml,100,25.89,1,Regular,
3760016770287,PPRAJ100CBM,Alexandre J The Collector Black Muscs EDP 100 ml,140,36.78,22,Regular,
3760016770324,PPRAJ100CMM,Alexandre.J The Collector Morning Muscs EDP U 100 ml,140,36.78,40,Regular,
3700753000094,PPRAJ100WLB,Alexandre.J Western Leather Black EDP 100ml,180,47.68,12,Regular,
810876032261,PETAR125BK,Alfa Romeo Black EDT 125ml,50,12.26,120+,Regular,
810876032308,PETAR125B,Alfa Romeo Blue EDT 125ml,50,12.26,120+,Regular,
810876032223,PETAR125R,Alfa Romeo Red EDT 125ml,50,12.26,120+,Regular,
3145891274509,PPRALU50EB,Allure Chanel Edition Blanche M EDP 50ml,300,80.38,6,Regular,
701666410034,PETAMGD100,Amouage Dia EDP M 100 ml,490,132.15,12,Regular,
701666410201,PPRAMGI100,Amouage Interlude W EDP 100ML,505,136.24,1,Regular,
701666410225,PPRAMGJ100M,Amouage Journey Man EDP 100ml,515,138.96,11,Regular,
701666410515,PPRAMO100WSP,Amouage Opus V Woods Symphony EDP 100ml,535,144.41,9,Regular,
701666410522,PPRAMO100ORL,Amouage Opus V11 Reckless Leather EDP 100ML,545,147.14,12,Regular,
701666410553,PPRAMO100ORI,Amouage Opus Xii Rose Incense EDP 100ml,495,133.51,10,Regular,
701666410560,PPRAMO100OSO,Amouage Opus Xiii Silver Oud Edp 100 Ml,655,177.11,18,Regular,
701666410058,PPRAMG100R,Amouage Reflection Man EDP 100ml,505,136.24,2,Regular,
8952181105,PPRAMOE75MR,Amouroud Elixir Mysterious Rose Edp 75ml,260,69.48,2,Regular,
8952180108,PPRAMOE75NL,Amouroud Elixir Noir lllumine EDP 75ml,260,69.48,3,Regular,
PPRAMO100HW,PPRAMO100HW,Amouroud Himalayan Wooods EDP 100 ml,230,61.31,19,Regular,
8952200103,PPRAMO100LV,Amouroud Lunar Vetiver EDP 100ml,230,61.31,17,Regular,
8952163101,PPRAMO100MR,Amouroud Midnight Rose EDP 100 ml,230,61.31,18,Regular,
8952165105,PPRAMO100MS,Amouroud Miel Sauvage EDP 100 ml,230,61.31,9,Regular,
8952168106,PPRAMO100OAD,Amouroud Oud After Dark EDP 100 ml,230,61.31,32,Regular,
8952164108,PPRAMO100OJ,Amouroud Oud Du Jour EDP 100ml,230,61.31,36,Regular,
8952170109,PPRAMO100OT,Amouroud Oud Tabac EDP 100ml,230,61.31,10,Regular,
8952161107,PPRAMO100SR,Amouroud Safran Rare EDP 100 ml,230,61.31,4,Regular,
8952162104,PPRAMO100SDI,Amouroud Santal Des Indes EDP 100 ml,230,61.31,11,Regular,
8952171106,PPRAMO100SSO,Amouroud Sunset Oud EDP 100 ml,230,61.31,34,Regular,
8952201100,PPRAMO100WK,Amouroud White Hinoki EDP 100ml,230,61.31,21,Regular,
8058045427032,PPRANG100LEDIADL,Angel Schlesser Les Eaux D'un Instant Absolu Deep Leather EDP 100ml,105,27.25,19,Regular,
8058045426998,PPRANG100LEDIASR,Angel Schlesser Les Eaux D'un Instant Absolu Sublime Rose EDP 100ml,105,27.25,7,Regular,
8411061636268,PETAB100BS,Antonio Banderas Blue Seduction EDT M 100 ml,45,10.9,78,Regular,
22548006719,PETARM110,Aramis Aramis EDT M 110 ml,57,14.17,120+,Regular,
6085010044712,PETACDNI105,Armaf Club De Nuit Intense M 105 ml EDT,77,19.62,120+,Regular,
6294015131024,PPRACDNI200,Armaf Club De Nuit Intense M EDP 200ml,140,36.78,120+,Regular,
6294015180367,PPRARF105CDNILE,Armaf Club De Nuit Intense Man Limited Edition Parfum 105ml,170,44.96,120+,Regular,
6294015131017,PPRACDNI150,Armaf Club De Nuit Intense Parfum M EDP 150ml,145,38.15,120+,Regular,
6294015132120,PPRACDNI105MT,Armaf Club De Nuit Milestone W EDP 105ml,82,20.98,120+,Regular,
6294015136470,PPRACDN105S,Armaf Club De Nuit Sillage EDP 105ml,87,22.34,4,Regular,
6085010094151,PPRACDN105L,Armaf Club De Nuit W EDP 105 ml,65,16.35,120+,Regular,
6294015161496,PPRARM100LPA,Armaf Le Parfait Azure Pour Femme EDP 100ML,45,10.9,120+,Regular,
6294015163513,PPRACDN105UE,Armaf Perfume Club De Nuit Urban Elixir M EDP 105ml,82,20.98,120+,Regular,
8427395940285,PPRAB100RL,Armand Basi In Red W EDP 100 ml,85,21.8,10,Regular,
3605522041486,PPRARM100BY,Armani (Emporio Armani) Because It's You EDP 100 ml,235,62.67,120+,Regular,
3605522040588,PETARM100YM,Armani (Emporio Armani) Stronger With you EDT 100ml,220,58.58,120+,Regular,
3614272225718,PPRARM100SYI,Armani (Emporio Armani) Stronger With You Intensely EDP 100ml,295,79.02,41,Regular,
3614273628983,PETARM100YMO,Armani (Emporio Armani) Stronger With you Only EDT 100ml,200,53.13,23,Regular,
3614273662475,PPRADG75,Armani (Giorgio Armani) Acqua di Gio EDP 75 ml,215,57.22,24,Regular,
3614273662420,PPRADG125,Armani (Giorgio Armani) Acqua Di Gio Homme Edp Refillable 125ml,260,69.48,120+,Regular,
3605521172525,PPRADG100,Armani (Giorgio Armani) Acqua Di Gioia W EDP 100ML,230,61.31,120+,Regular,
3614273636513,PETAC125MR,Armani (Giorgio Armani) Armani Code M EDT 125 ml Refillable,235,62.67,120+,Regular,
3360375010972,PPRAC75L,Armani (Giorgio Armani) Armani Code W EDP 75 ml,240,64.03,14,Regular,
3614273604833,PPRAC75PR,Armani (Giorgio Armani) Code Parfum 75ml Rechargeable Spray,225,59.95,120+,Regular,
3614272225671,PPREA100ILWU,Armani (Giorgio Armani) Emporio Armani In Love With You EDP W 100 ml,205,54.5,16,Regular,
3614273070249,PETEMP100H,Armani (Giorgio Armani) Emporio He EDT M 100 ml,170,44.96,14,Regular,
3614272907690,PPRARM90MW,Armani (Giorgio Armani) My Way W EDP 90 ml,270,72.21,120+,Regular,
3614271994844,PPRGASI100P,Armani (Giorgio Armani) Si Passione W EDP 100 ml,270,72.21,120+,Regular,
3614273336383,PPRARM100SYAB,Armani (Giorgio Armani) Stronger With You Absolutely M EDP 100 ml,295,79.02,31,Regular,
3614274040067,PPRARM100SYT,Armani Stronger With You Tobacco For Men EDP 100ml,300,80.38,26,Regular,
6291107456355,PPRASD100AAA,Asdaaf Ameerat Al Arab EDP 100ml,36,8.45,120+,Regular,
3760027140406,PPRADO100CDA,Atelier Des Ors Choeur Des Anges EDP 100ml,315,84.47,1,Regular,
3760027140192,PPRADO100IF,Atelier Des Ors Iris Fauve EDP 100ml,305,81.74,6,Regular,
3760027140017,PPRADO100LDD,Atelier Des Ors Larmes Du Desert EDP 100ml,315,84.47,11,Regular,
3760027140185,PPRADO100MI,Atelier Des Ors Musc Immortel EDP 100ml,335,89.92,2,Regular,
